s       |  code       |  functions       |  Mean
1       |  LAYING       |  angle.X.gravityMean.       |  0.617423415625
1       |  LAYING       |  angle.Y.gravityMean.       |  -0.519732551458333
1       |  LAYING       |  angle.Z.gravityMean.       |  -0.478928233958333
1       |  LAYING       |  angle.tBodyAccJerkMean..gravityMean.       |  -0.00635557646875
1       |  LAYING       |  angle.tBodyAccMean.gravity.       |  0.005791809625
1       |  LAYING       |  angle.tBodyGyroJerkMean.gravityMean.       |  -0.0293710088554167
1       |  LAYING       |  angle.tBodyGyroMean.gravityMean.       |  0.0652860108125
1       |  LAYING       |  fBodyAcc.mean...X       |  -0.976725059791667
1       |  LAYING       |  fBodyAcc.mean...Y       |  -0.979800877916667
1       |  LAYING       |  fBodyAcc.mean...Z       |  -0.984380981875
1       |  LAYING       |  fBodyAcc.meanFreq...X       |  -0.146482792591667
1       |  LAYING       |  fBodyAcc.meanFreq...Y       |  0.2572894655
1       |  LAYING       |  fBodyAcc.meanFreq...Z       |  0.402532553395833
1       |  LAYING       |  fBodyAcc.std...X       |  -0.973246482083333
1       |  LAYING       |  fBodyAcc.std...Y       |  -0.981025105625
1       |  LAYING       |  fBodyAcc.std...Z       |  -0.984792185
1       |  LAYING       |  fBodyAccJerk.mean...X       |  -0.985813630833333
1       |  LAYING       |  fBodyAccJerk.mean...Y       |  -0.982768250416667
1       |  LAYING       |  fBodyAccJerk.mean...Z       |  -0.986197134583333
1       |  LAYING       |  fBodyAccJerk.meanFreq...X       |  0.159808328563875
1       |  LAYING       |  fBodyAccJerk.meanFreq...Y       |  0.1212064240125
1       |  LAYING       |  fBodyAccJerk.meanFreq...Z       |  0.190558218145833
1       |  LAYING       |  fBodyAccJerk.std...X       |  -0.987250255833333
1       |  LAYING       |  fBodyAccJerk.std...Y       |  -0.984987392916667
1       |  LAYING       |  fBodyAccJerk.std...Z       |  -0.989345368541667
1       |  LAYING       |  fBodyAccMag.mean..       |  -0.975110196458333
1       |  LAYING       |  fBodyAccMag.meanFreq..       |  0.2662982125
1       |  LAYING       |  fBodyAccMag.std..       |  -0.975121387916667
1       |  LAYING       |  fBodyBodyAccJerkMag.mean..       |  -0.985374114791667
